,testing 20 nodes,testing 40 nodes,testing 60 nodes,testing 80 nodes,AVG
crossover_proportion:0.1,89.0,90.0,91.0,88.0,89.5
crossover_proportion:0.2,68.0,78.0,72.0,69.0,71.75
crossover_proportion:0.3,56.0,52.0,63.0,57.0,57.0
crossover_proportion:0.4,59.0,61.0,46.0,49.0,53.75
crossover_proportion:0.5,38.0,39.0,34.0,42.0,38.25
crossover_proportion:0.6,2.0,6.0,28.0,31.0,16.75
crossover_proportion:0.7,37.0,20.0,38.0,24.0,29.75
crossover_proportion:0.8,7.0,43.0,29.0,26.0,26.25
crossover_proportion:0.9,26.0,12.0,29.0,17.0,21.0
crossover_proportion:1.0,42.0,24.0,18.0,11.0,23.75
